@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,13-15-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
0.223048,0.423077,0.46875,0.172414,0.461538,0.846154,0
0.449814,0.615385,0.53125,0.517241,0.038462,0.538462,0
0.074349,0.076923,0.6875,0,0.192308,0.538462,0
0.516729,0.538462,0.5,0.241379,0.346154,0.461538,0
0.572491,0.423077,0.53125,0.241379,0.269231,0.692308,0
0.572491,0.384615,0.65625,0.241379,0.423077,0.384615,0
0.163569,0.423077,0.5625,0.172414,0.384615,0.769231,0
0.672862,0.538462,0.5625,0.689655,0.5,0.769231,0
0.561338,0.576923,0.53125,0.827586,0.692308,0.769231,0
0.524164,0.423077,0.46875,0.655172,0.615385,0.769231,0
0.855019,0.423077,0.6875,0.827586,0.5,0.615385,0
0.561338,0.423077,0.78125,1,0.653846,0.769231,0
0.568773,0.576923,0.5,0.827586,0.653846,0.461538,0
0.695167,0.692308,0.59375,0.896552,0.730769,0.769231,0
0.531599,0.307692,0.625,0.172414,0.538462,0.307692,0
0.524164,0.5,0.5625,0.448276,0.538462,0.692308,0
0.449814,0.538462,0.125,0.241379,0.692308,0.461538,0
0.401487,0.615385,0.625,0.517241,0.615385,0.615385,0
0.360595,0.538462,0.625,0.344828,0.615385,0.384615,0
0.643123,0.5,0.6875,0.344828,0.653846,0.769231,0
0.535316,0.5,0.65625,0.448276,0.615385,0.615385,0
0.576208,0.423077,0.5,0.344828,0.692308,0.615385,0
0.405204,0.576923,0.65625,0.448276,0.615385,0.769231,0
0.914498,0.307692,0.65625,0.172414,0.538462,0.769231,0
0.360595,0.5,0.65625,0.344828,0.576923,0.538462,0
0.598513,0.692308,0.625,0.344828,0.730769,0.384615,0
0.360595,0.692308,0.46875,0.517241,0.692308,0.384615,0
0.773234,0.423077,0.625,0.068966,0.576923,0.615385,0
0.39777,0.538462,0.375,0.172414,0.538462,0.461538,0
0.624535,0.769231,0.46875,0.62069,0.692308,0.461538,0
0.39777,0.653846,0.4375,0.344828,0.615385,0.538462,0
0.884758,0.384615,0.5625,0.689655,0.384615,0.692308,0
0.509294,0.5,0.625,0.827586,0.692308,0.615385,0
0.605948,0.192308,0.5625,0.896552,0.653846,0.538462,0
0.576208,0.153846,0.4375,0.517241,0.653846,0.538462,0
0.516729,0.230769,0.5625,0.827586,0.653846,0.615385,0
0.375465,0.153846,0.75,0.827586,0.692308,0.461538,0
0.572491,0.384615,0.625,0.827586,0.730769,0.538462,0
0.434944,0.461538,0.625,0.896552,0.653846,0.615385,0
0.591078,0.5,0.53125,0.551724,0.692308,0.769231,0
0.576208,0.384615,0.65625,0.551724,0.653846,0.769231,0
0.657993,0.5,0.625,0.689655,0.653846,0.769231,0
0.35316,0.269231,0.5625,0.310345,0.692308,0.692308,0
0,0.5,0.71875,0.241379,0.615385,0.615385,0
0.442379,0.538462,0.625,0.241379,0.538462,0.538462,0
