@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,5-7,14-15-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R1'

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
0.578741,0.590909,0.941606,0.282051,0.615385,0.8,0.785739
0.771653,0.727273,0.941606,0.333333,0.230769,0.6,0.785739
0.700788,0.863636,0.905109,0.410256,0.615385,0.8,0.357215
0.712599,0.636364,0.948905,0.333333,0.692308,1,0.428636
0.712599,0.545455,0.934307,0,0.692308,0.9,0.357215
0.744094,0,0.919708,0,0.769231,0.6,0.357215
0.562993,0.909091,0.948905,0.384615,0.769231,0.9,0.857159
0.728347,0.727273,0.948905,0.128205,0.769231,0.5,0.857159
0.622048,0.727273,0.927007,0.333333,0.153846,0.2,0.357215
0.578741,0.909091,0.934307,0.512821,0.615385,0.5,0.357215
0.677166,0.681818,0.948905,0.25641,0.769231,0.8,0.857159
0.622048,0.772727,0.927007,0.461538,0.615385,0.6,0.357215
0.677166,0.863636,0.948905,0.333333,0.615385,0.2,0.857159
0.610236,0.636364,0.963504,0.410256,0.307692,0.4,1
0.622048,0.772727,0.89781,0.512821,0.076923,0.6,0.357215
0.582677,0.636364,0.956204,0.512821,0.153846,0.4,0.357215
0.629922,0.5,0.905109,0.128205,0.615385,0.6,0.357215
0.570866,0.727273,0.970803,0.461538,0.461538,0.5,0.785739
0.704725,0.818182,0.854015,0.179487,0.846154,0.9,0.214374
0.649607,0.681818,0.927007,0.384615,0.615385,0.6,0.357215
0.570866,0.636364,0.766423,0,0.230769,0.5,0.357215
0.649607,0.590909,0.839416,0.461538,0.307692,0.9,0.357215
0.547244,0.863636,0.978102,0.384615,0.230769,0.2,0.357215
0.614173,0.636364,0.948905,0.512821,0.384615,0.9,0.357215
0,0.272727,0.912409,0.461538,0.230769,0,0.357215
0.61811,0.590909,0.927007,0.512821,0.692308,0.6,0.357215
0.590552,0.363636,0.927007,0.384615,0.461538,0.9,0.357215
0.669291,0.727273,0.927007,0.512821,0.384615,0.8,0.357215
0.665354,0.863636,0.985401,0.589744,0.307692,0.9,0.142954
0.838583,0.363636,0.963504,0.128205,0.615385,0.4,0.785739
0.622048,0.227273,0.948905,0.512821,0.461538,0.7,0.785739
0.692913,0.772727,0.956204,0.25641,0.461538,0.3,0.785739
0.547244,0.818182,0.956204,0.512821,0.384615,0.7,0.785739
0.704725,0.5,0.963504,0.666667,0.461538,0.8,0.357215
0.767716,0.5,0.956204,0.666667,0.384615,0.6,0.785739
0.960631,0.454545,0.883212,0.333333,0.461538,0.1,0.785739
0.881891,0.454545,0.956204,0.25641,0.307692,0.7,0.357215
0.937009,0.681818,0.956204,0.461538,0.461538,0.8,0.785739
0.708662,0.181818,0.919708,0.384615,0.384615,0.7,0.785739
0.712599,0.227273,0.927007,0.512821,0.384615,0.6,0.357215
0.622048,0.454545,0.883212,0.179487,0.230769,0.5,0.785739
0.610236,0.5,0.912409,0.512821,0.692308,0.6,0.357215
0.610236,0.5,0.927007,0.512821,0.307692,0.9,0.142954
0.657481,0.772727,0.985401,0.846154,0.307692,0.8,0.142954
0.692913,0.454545,0,0.333333,0.307692,0.9,0.785739
0.708662,0.272727,0.883212,0,0.461538,0.7,0.357215
0.641732,0.590909,0.905109,0.333333,0.461538,1,0.357215
0.582677,0.227273,0.905109,0.512821,0.615385,0.5,0.785739
0.649607,0.636364,0.927007,0.589744,0.307692,0.8,0.785739
0.586614,0.545455,0.941606,0.512821,0.307692,0.8,0.357215
0.570866,0.954545,0.963504,1,0.615385,0.6,0.142954
0.641732,0.545455,0.934307,0.384615,0.153846,0.5,0.785739
0.834646,0.545455,0.905109,0.384615,0.615385,0.5,0.785739
0.69685,0.636364,0.912409,0.512821,0.384615,0.8,0.785739
0.149607,0.590909,0.948905,0.461538,0.615385,0.7,0.785739
0.562993,0.590909,0.912409,0.512821,0.461538,0.7,0.357215
0.614173,0.818182,0.839416,0.128205,0.461538,0.5,0.357215
0.61811,0.318182,0,0.384615,0.307692,0.9,0.357215
0.677166,0.545455,0.956204,0.25641,0.384615,0.8,0.785739
0.779528,0.636364,0.927007,0.461538,0.461538,0.8,0.785739
0.657481,0.409091,0.927007,0.512821,0.307692,0.7,0.785739
0.64567,0.5,0.905109,0.384615,0.615385,0.6,0.357215
0.716535,0.454545,0.912409,0.333333,0.461538,0.8,0.357215
0.704725,0.272727,0.919708,0.512821,0.461538,0.6,0.785739
0.75197,0.909091,0.941606,0.384615,0.307692,0.5,0.785739
0.570866,0.545455,0.941606,0.461538,0.384615,0.5,0.357215
0.598425,0.727273,0.934307,0.461538,0.307692,0.9,0.785739
0.716535,0.545455,0.948905,0.512821,0.461538,0.4,0.785739
0.633858,0.227273,0.868613,0.128205,0.230769,0.5,0.785739
0.653544,0.545455,0.963504,0.589744,0.153846,0.8,0.357215
0.661417,0.454545,0.824818,0,0.153846,0.6,0.785739
0.6063,0.363636,0.905109,0.333333,0.461538,0.8,0.357215
0.551182,0.5,0.941606,0.512821,0.307692,0.7,0.357215
0.551182,0.545455,0.963504,0.589744,0.384615,0.8,0.357215
0.834646,0.909091,0.905109,0.461538,0.538462,0.9,0.142954
0.846457,0.772727,0.963504,0.384615,0.615385,0.7,0.785739
