@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,8-weka.filters.unsupervised.attribute.Remove-R8'

@attribute dianyayusheding numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaosheding numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute dianliuxiaolv numeric

@data
4.01,952,2.54,15,260,190,0.930037
4.01,938,2.52,0,265,190,0.935662
4,949,2.56,15,250,180,0.882324
4,939,2.52,15,245,200,0.87537
4,944,2.58,10,265,200,0.935426
4,952,2.58,25,240,200,0.904811
4.01,952,2.5,15,245,200,0.881556
3.995,949,2.64,20,255,220,0.904351
4,952,2.54,25,235,150,0.911951
4,947,2.58,20,245,180,0.900204
4.03,954,2.44,8,265,210,0.925499
4.01,950,2.52,10,245,170,0.927884
4,948,2.56,15,270,200,0.879997
4,950,2.52,15,245,210,0.899804
4,951,2.56,25,250,200,0.917584
4,950,2.66,25,250,190,0.915662
4.005,946,2.48,15,260,190,0.893493
4.012,950,2.6,10,270,210,0.937057
4,946,2.62,25,245,190,0.919839
4,950,2.56,0,240,160,0.937584
4.01,947,2.46,10,270,200,0.921661
4.01,949,2.6,20,245,220,0.914486
4,940,2.48,20,260,180,0.890769
4,949,2.56,25,230,160,0.919431
