@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1,16-17-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute jialiaoliang numeric
@attribute jialiaocishu numeric
@attribute gongzuoshidianya numeric
@attribute zaosheng numeric
@attribute yangjixingchengri numeric
@attribute yangjixingchengdunlv numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute fehanliang numeric
@attribute sihanliang numeric
@attribute shijichulvliang numeric

@data
0.469159,0.470464,0.201493,0.151515,0.910653,0.727273,0.567568,0.886525,0.487805,0.7,0.65368,0.112,0.166667,1
0.224299,0.21097,0.370646,0.060606,0.883162,0.363636,0.513514,0.900709,0.560976,0.766667,0.61039,0.064,0.333333,1
0.550156,0.546414,0.363184,0.090909,0.914089,0.772727,0.432432,0.914894,0.243902,0.766667,0.74026,0.074667,0.333333,1
0.291589,0.274262,0.420398,0.242424,0.910653,0.5,0.459459,0.879433,0.365854,0.866667,0.65368,0.037333,0.166667,1
0.614953,0.578059,0.238806,0.575758,0.879725,0.681818,0.324324,0.815603,0.121951,0.8,0.5671,0.144,0.333333,1
0.63053,0.592827,0.241294,0.363636,0.890034,0.727273,0.513514,0.879433,0.243902,0.833333,0.5671,0.210667,0.333333,0.965517
0.695327,0.654008,0.646766,0.363636,0.886598,0.772727,0.459459,0.907801,0.243902,0.766667,0.480519,0.064,0.166667,1
0.411215,0.415612,0.343284,0.181818,0.890034,0.727273,0.621622,0.921986,0.804878,0.7,0.82684,0.130667,0.333333,0.965517
0.42866,0.402954,0.450249,0.484848,0.896907,0.318182,0.486486,0.893617,0.487805,0.733333,0.87013,0.048,0.166667,1
0.49595,0.466245,0.216418,0.090909,0.879725,0.681818,0.621622,0.907801,0.682927,0.666667,0.69697,0.053333,0.166667,0.965517
0.341433,0.320675,0.385572,0.030303,0.893471,0.681818,0.405405,0.893617,0.487805,0.7,0.69697,0.056,0.166667,1
0.401869,0.407173,0.154229,0.121212,0.896907,0.727273,0.594595,0.893617,0.804878,0.766667,0.82684,0.104,0.166667,1
0.487227,0.457806,0.243781,0.181818,0.914089,0.772727,0.324324,0.822695,0.121951,0.7,0.74026,0.186667,0.333333,1
