@relation QueryResult-weka.filters.unsupervised.attribute.Remove-R1

@attribute gongzuoshidianya numeric
@attribute dianjiewendu numeric
@attribute fenzibi numeric
@attribute alfjialiaoshiji numeric
@attribute lvshuiping numeric
@attribute dianjiezhishuiping numeric
@attribute jinrichulvzhishiliang numeric
@attribute dianliuxiaolv numeric
@attribute class {excellent,good,medium}

@data
4.028,947,2.6,20,250,170,1510,95.290001,good
4.007,940,2.38,5,235,180,1510,95.290001,medium
4.012,947,2.64,23,230,210,1450,91.503998,medium
4,943,2.48,13,250,210,1450,91.503998,medium
3.986,946,2.58,20,240,200,1450,91.503998,medium
3.986,947,2.64,23,245,210,1450,91.503998,medium
4.061,952,2.64,15,260,200,1510,95.290001,good
4.048,952,2.52,10,250,180,1510,95.290001,good
3.998,950,2.52,15,245,210,1450,91.503998,medium
4.009,947,2.56,13,235,190,1510,95.290001,medium
4.035,955,2.56,15,250,210,1510,95.290001,excellent
4.007,944,2.48,15,260,200,1450,91.503998,medium
4.037,947,2.52,20,245,200,1450,91.503998,good
3.984,950,2.3,20,245,210,1450,91.503998,medium
4.039,947,2.38,13,235,180,1510,95.290001,medium
4.016,950,2.52,18,245,200,1510,95.290001,medium
4.001,947,2.52,18,245,190,1450,91.503998,medium
4.034,941,2.52,13,240,180,1450,91.503998,good
4.006,949,2.3,20,240,190,1450,91.503998,good
4.007,948,2.62,20,245,190,1510,95.290001,excellent
3.986,946,2.5,18,240,210,1450,91.503998,good
4.008,947,2.74,23,235,210,1510,95.290001,good
4.048,948,2.52,20,235,190,1510,95.290001,good
4.013,940,2.5,20,245,210,1510,95.290001,good
3.995,947,2.58,18,240,200,1510,95.290001,medium
4.006,948,2.62,23,245,190,1510,95.290001,medium
3.99,946,2.64,20,255,200,1420,89.611,good
4.003,950,2.5,18,250,190,1420,89.611,good
4.014,951,2.56,20,250,190,1510,95.290001,good
4.012,948,2.5,15,235,180,1450,91.503998,good
4.035,948,2.5,18,235,200,1450,91.503998,good
4.007,948,2.56,15,235,200,1510,95.290001,medium
4.044,950,2.52,20,235,170,1510,95.290001,good
4.052,947,2.58,20,240,200,1510,95.290001,medium
4.048,945,2.5,18,245,210,1450,91.503998,good
3.996,946,2.52,20,270,210,1450,91.503998,medium
4,950,2.72,18,230,190,1510,95.290001,good
4.042,951,2.56,15,245,180,1510,95.290001,good
4.022,946,2.42,10,230,200,1510,95.290001,medium
4.05,956,2.62,18,250,190,1510,95.290001,medium
4.029,945,2.62,23,230,170,1510,95.290001,medium
4.033,953,2.64,15,255,190,1450,91.503998,medium
4.005,947,2.74,7,240,200,1450,91.503998,good
4.006,945,2.54,23,230,210,1510,95.290001,medium
4.035,939,2.42,2,250,150,1450,91.503998,good
3.995,942,2.48,13,260,200,1510,95.290001,good
4.055,946,2.52,13,240,160,1510,95.290001,good
4.002,951,2.72,23,250,180,1450,91.503998,medium
4.06,945,2.42,2,260,180,1510,95.290001,good
4.006,952,2.4,15,250,200,1510,95.290001,medium
4.008,946,2.54,15,260,190,1450,91.503998,medium
4.019,945,2.54,20,225,200,1510,95.290001,good
4.011,947,2.4,15,250,200,1510,95.290001,medium
4.002,950,2.5,18,250,200,1420,89.611,medium
4.1,949,2.6,20,260,200,1510,95.290001,medium
4.012,944,2.5,20,235,200,1510,95.290001,good
4.014,947,2.56,18,260,190,1510,95.290001,good
4.032,950,2.5,18,260,210,1420,89.611,medium
3.998,947,2.52,15,240,200,1450,91.503998,good
4.075,950,2.62,23,240,170,1510,95.290001,good
4.012,943,2.48,18,260,170,1510,95.290001,medium
4.038,942,2.48,13,260,200,1450,91.503998,medium
4.038,947,2.54,18,240,210,1510,95.290001,good
4.011,949,2.3,23,245,200,1450,91.503998,medium
4.025,939,2.42,5,260,200,1510,95.290001,good
4.026,952,2.52,10,250,190,1450,91.503998,good
4.029,939,2.48,18,240,210,1450,91.503998,medium
4.024,949,2.56,13,230,170,1510,95.290001,medium
3.994,952,2.5,20,240,190,1420,89.611,medium
3.986,950,2.56,10,245,190,1510,95.290001,good
4.038,940,2.38,5,240,210,1510,95.290001,medium
4.016,945,2.58,15,250,210,1510,95.290001,medium
3.995,949,2.64,15,265,180,1510,95.290001,good
4.003,945,2.48,18,260,180,1450,91.503998,medium
3.99,944,2.6,15,260,210,1510,95.290001,good
4.002,943,2.48,15,260,200,1450,91.503998,medium
4.025,944,2.42,15,250,190,1450,91.503998,medium
4.001,947,2.52,13,240,210,1450,91.503998,good
4.044,954,2.4,15,250,200,1510,95.290001,medium
4.054,947,2.26,5,230,160,1510,95.290001,good
4.048,941,2.48,18,255,190,1510,95.290001,medium
4.04,945,2.26,5,230,190,1510,95.290001,medium
4.031,947,2.56,20,230,200,1510,95.290001,medium
4.005,951,2.72,15,250,190,1510,95.290001,good
4.011,949,2.56,15,250,190,1510,95.290001,good
